"date","cons","invest","GDP","Empl","dPGDP","RW","R"
"1989Q2",1332.4137124871,1227.49297501709,1381.78423610128,1163.45455740801,0.742465797026037,150.385524484353,2.36678149999982
"1989Q3",1333.37596989859,1227.99318007069,1382.06147191593,1163.86981867992,1.00428315814192,151.119520098633,2.47897799999974
"1989Q4",1334.39086858187,1231.40217960308,1383.54614933825,1164.31462084385,1.28311935846108,151.516827097666,2.72591224999978
"1990Q1",1335.47138405069,1233.76672219271,1384.86660760147,1165.13552160246,1.28446789345014,151.985496774421,2.76626124999998
"1990Q2",1336.22240602595,1233.62491211572,1385.29385588685,1165.63175062088,1.1435663087537,153.003503170706,2.61544924999989
"1990Q3",1336.73948339607,1233.12260972236,1386.04973071806,1165.74072946106,1.09767531602267,153.486544208318,2.59042374999998
"1990Q4",1337.58720644674,1234.66813072319,1386.42338137416,1166.07801379046,0.827215201197418,154.118928017092,2.71587924999979
"1991Q1",1338.75555326709,1235.22803504545,1386.97775489504,1166.4809721256,1.48814805175339,153.833422847916,2.74445299999983
"1991Q2",1339.45039798006,1236.75495981215,1387.70836591476,1166.33622281675,1.49663458783056,155.420399443707,2.59050874999991
"1991Q3",1339.56035768698,1236.54849415237,1388.08601967897,1166.00069885147,1.26018088720856,155.993262967573,2.60477474999984
"1991Q4",1340.57516072332,1236.86615841684,1388.39415559928,1165.94429718307,1.29610393783843,156.475925081778,2.66056149999979
"1992Q1",1341.21774690349,1237.9069985724,1389.46760569462,1165.4719862248,0.995959803308599,157.143288826463,2.69109324999985
"1992Q2",1341.14298325905,1236.90564428331,1389.15537762258,1165.42358600474,0.900310789686642,157.513056687487,2.72463624999982
"1992Q3",1341.48467897251,1235.32474149025,1389.22919067669,1164.90623407723,1.08217834745989,158.914799283376,2.96070049999987
"1992Q4",1342.28148459811,1233.5205734231,1388.85344653135,1164.22866483304,0.797668048349243,159.200315650839,2.82747249999997
"1993Q1",1340.21886809302,1229.759856451,1387.64819375864,1163.56631255242,1.04055270881598,158.030125294319,2.64656549999995
"1993Q2",1340.54092386283,1227.68752238753,1387.85284512742,1163.11897346954,0.99257083851767,158.606351263789,2.23922399999985
"1993Q3",1341.0709808135,1227.28840621532,1388.34284258733,1162.80963829297,0.594621109577709,158.926972292881,2.01909324999977
"1993Q4",1341.87635928613,1226.57515778549,1388.82359491827,1162.4191105849,0.717259129886538,159.037586711116,1.83477224999977
"1994Q1",1341.60426793044,1228.30693402002,1389.4199239352,1162.23835134709,0.807417567612134,158.675096452581,1.69656599999983
"1994Q2",1341.91097587501,1229.25107590554,1390.40440394893,1162.24840210342,0.455185484420162,158.80998911773,1.58018774999981
"1994Q3",1342.74477729579,1230.58936318341,1391.32479529645,1162.37897009264,0.573806936497578,159.149715281578,1.58520049999988
"1994Q4",1343.21569850867,1231.95607748033,1392.05683540105,1162.34885414602,0.61772911579725,159.737695214458,1.61863424999984
"1995Q1",1343.24230103066,1233.33537388685,1392.57696756168,1162.54945601871,0.765681976065058,159.808863286182,1.73204749999988
"1995Q2",1344.27275344994,1233.47718723237,1392.79717288143,1162.74965628578,0.952039435139951,160.016396402842,1.78250424999974
"1995Q3",1344.62208638064,1233.83729415784,1393.17425599105,1162.85959583011,0.756366704855993,160.285142501929,1.66961949999987
"1995Q4",1344.54540751551,1233.73162352347,1393.42497506455,1162.84960631908,0.584347175544897,160.437563062567,1.62122049999982
"1996Q1",1345.66091658998,1232.49223121335,1394.0527781449,1162.83961581006,0.513815000271545,160.846668948637,1.40429774999998
"1996Q2",1345.67076228862,1235.17766812576,1394.42376395963,1162.96941464012,0.475080674076689,160.684372988749,1.28106049999999
"1996Q3",1346.3358029614,1235.45105815222,1394.97460489034,1163.04920718376,0.428227317334229,161.289636041506,1.24690849999998
"1996Q4",1346.35110954792,1235.91758912756,1395.27827774631,1162.94945655204,0.453051434662921,161.382238135184,1.14365699999996
"1997Q1",1346.66374433103,1234.91872657426,1395.59289543915,1162.90952842215,0.247612309869005,161.766713988434,1.10696899999991
"1997Q2",1347.54085356343,1236.48471760075,1396.96281372437,1163.14885841273,0.247000705716371,162.505114241819,1.0786780000001
"1997Q3",1347.68669395991,1237.30176704004,1397.71839596041,1163.33792260159,0.448785638859639,162.679178973956,1.07778575000013
"1997Q4",1348.50246395325,1238.53503244246,1398.37311957858,1163.49685776965,0.560665790626347,162.313136406335,1.10416950000007
"1998Q1",1349.71904978797,1239.9992145162,1399.3139717874,1163.89143927264,0.289713728414775,161.878269315028,1.04749999999988
"1998Q2",1350.29278671199,1240.38475287007,1399.65497029095,1164.41392803274,0.652117953264875,161.697605221342,1.00999999999994
"1998Q3",1351.1467151135,1242.14666020209,1400.20985457892,1164.89113596504,0.285110776429609,162.017062504689,0.982500000000062
"1998Q4",1351.89855360744,1242.75783738466,1400.4294162039,1165.35905206119,0.341915862251341,162.290613290508,0.902499999999973
"1999Q1",1353.14631827031,1244.68373425076,1401.31493712721,1165.77338510712,0.240950665458262,162.456281636159,0.77250000000001
